,Date,Open,High,Low,Close,Adj Close,Volume
TSLA,9/27/2022,117.199997,118.32,113.050003,114.410004,114.410004,60094700
TSLA,9/28/2022,114.379997,118.699997,113.800003,118.010002,118.010002,55763800
TSLA,9/29/2022,115.599998,116.07,113.059998,114.800003,114.800003,58969700
TSLA,9/30/2022,114.080002,116.919998,112.839996,113,113,59479600
TSLA,10/3/2022,113.580002,116.910004,112.449997,115.879997,115.879997,50941900
TSLA,10/4/2022,119.889999,123,119.790001,121.089996,121.089996,62812600
TSLA,10/5/2022,118.580002,121.75,117.690002,120.949997,120.949997,48217500
TSLA,10/6/2022,120.769997,121.529999,119.5,120.300003,120.300003,42253800
TSLA,10/7/2022,118,118.169998,113.879997,114.559998,114.559998,54678000
TSLA,10/10/2022,115.099998,116.25,112.43,113.669998,113.669998,42339700
TSLA,10/11/2022,112.709999,115.480003,110.389999,112.209999,112.209999,56432200
TSLA,10/12/2022,112.489998,113.830002,111.400002,112.900002,112.900002,45728700
TSLA,10/13/2022,107.879997,113.440002,105.349998,112.529999,112.529999,86868100
TSLA,10/14/2022,114.099998,114.959999,106.599998,106.900002,106.900002,67737300
TSLA,10/17/2022,110.110001,114.190002,110.089996,113.790001,113.790001,62782000
TSLA,10/18/2022,119.059998,119.519997,114.790001,116.360001,116.360001,65607400
TSLA,10/19/2022,114.709999,116.589996,113.220001,115.07,115.07,47198100
TSLA,10/20/2022,113.830002,118.239998,113.510002,115.25,115.25,48795100
TSLA,10/21/2022,114.790001,119.589996,114.5,119.32,119.32,55660500
TSLA,10/24/2022,119.980003,120.389999,116.57,119.82,119.82,49531500
TSLA,10/25/2022,119.650002,121.32,118.949997,120.599998,120.599998,50934600
TSLA,10/26/2022,116,119.349998,114.760002,115.660004,115.660004,68802300
TSLA,10/27/2022,113.919998,114.120003,109.769997,110.959999,110.959999,129605400
TSLA,10/28/2022,97.910004,103.959999,97.660004,103.410004,103.410004,223133400
TSLA,10/31/2022,103.559998,104.870003,100.739998,102.440002,102.440002,99251400
TSLA,11/1/2022,103.989998,104.580002,96.059998,96.790001,96.790001,153370000
TSLA,11/2/2022,97.32,97.739998,92.010002,92.120003,92.120003,135761800
TSLA,11/3/2022,92.470001,93.5,89.019997,89.300003,89.300003,136683300
TSLA,11/4/2022,91.489998,92.440002,88.040001,90.980003,90.980003,129101300
TSLA,11/7/2022,91.949997,92.099998,89.040001,90.529999,90.529999,77495700
TSLA,11/8/2022,90.790001,91.720001,88.230003,89.980003,89.980003,88703400
TSLA,11/9/2022,89.470001,89.480003,85.870003,86.139999,86.139999,90796200
TSLA,11/10/2022,92.940002,98.690002,91.650002,96.629997,96.629997,173414900
TSLA,11/11/2022,97.879997,101.190002,96.660004,100.790001,100.790001,111590500
TSLA,11/14/2022,98.769997,100.120003,97.290001,98.489998,98.489998,99533100
TSLA,11/15/2022,103.209999,103.790001,97.339996,98.940002,98.940002,111336300
TSLA,11/16/2022,96.849998,98.489998,95.540001,97.120003,97.120003,87958800
TSLA,11/17/2022,95.370003,96.970001,94.029999,94.849998,94.849998,82617900
TSLA,11/18/2022,95.949997,95.989998,92.480003,94.139999,94.139999,72428200
TSLA,11/21/2022,93.970001,95.019997,90.589996,92.459999,92.459999,84330300
